Testo,Categoria_Prevista,Priorita_Suggerita
Testo,Tecnico,Media
Il PC aziendale si è bloccato improvvisamente e lo schermo è tutto nero. Aiuto urgente!,Tecnico,Alta
"Buongiorno, non riesco ad accedere alla rete dell'ufficio. La connessione cade di continuo.",Tecnico,Alta
"Ho bisogno di delucidazioni sul pagamento della mia ultima busta paga, credo manchino degli straordinari.",Amministrazione,Media
Il cliente Bianchi ha richiesto un preventivo urgente per la nuova fornitura.,Commerciale,Alta
"Scusate, la password della mia email aziendale è scaduta e non riesco a fare il reset per entrare.",Tecnico,Alta
C'è un problema con la fattura 405 del fornitore. Risulta un blocco nei pagamenti.,Amministrazione,Media
Necessito di informazioni aggiornate sui prezzi del nostro catalogo per un potenziale nuovo cliente.,Commerciale,Bassa
"La stampante del terzo piano è bloccata, c'è un foglio incastrato e non stampa più nulla.",Tecnico,Media
Richiesta di inserimento ferie per il periodo natalizio. Il sistema HR mi dà un errore.,Tecnico,Media
Dobbiamo inviare il contratto di rinnovo al cliente entro domani altrimenti perdiamo l'accordo.,Commerciale,Alta
